BIN	chr	bin_start	bin_end	LOD
N01001p194254	1	194254	400157	0.452732678
N01002p400157	1	400157	1731505	0.05013919
N01003p1731505	1	1731505	1910748	0.134798993
N01004p1910748	1	1910748	2100327	0.345617965
N01005p2100327	1	2100327	2294836	0.030161003
N01006p2294836	1	2294836	3042592	0.403560645
N01007p3042592	1	3042592	3990055	0.046653479
N01008p3990055	1	3990055	5128342	1.704664633
N01009p5128342	1	5128342	5200223	1.860557933
N01010p5200223	1	5200223	5716166	2.888672509
N01011p5716166	1	5716166	6139727	1.145496711
N01012p6139727	1	6139727	7104564	0.352737473
N01013p7104564	1	7104564	8067570	0.286647735
N01014p8067570	1	8067570	8168584	0.068197945
N01015p8168584	1	8168584	8375021	0.014908913
N01016p8375021	1	8375021	8814299	0.363841628
N01017p8814299	1	8814299	9423355	0.673894673
N01018p9423355	1	9423355	9637860	0.816625385
N01019p9637860	1	9637860	10002491	0.824007798
N01020p10002491	1	10002491	10700080	0.321154966
N01021p10700080	1	10700080	10982452	0.671522509
N01022p10982452	1	10982452	12497535	0.046588144
N01023p12497535	1	12497535	12673808	0.594925763
N01024p12673808	1	12673808	12732628	1.016407154
N01025p12732628	1	12732628	12930877	0.271306161
N01026p12930877	1	12930877	13250297	0.191915413
N01027p13250297	1	13250297	13782528	0.835790666
N01028p13782528	1	13782528	14218381	0.835790666
N01029p14218381	1	14218381	19502043	0.176624837
N01030p19502043	1	19502043	19910901	0.208039778
N01031p19910901	1	19910901	20250898	0.231599603
N01032p20250898	1	20250898	20300216	0.156290654
N01033p20300216	1	20300216	20697907	0.503323615
N01034p20697907	1	20697907	21121244	0.296434997
N01035p21121244	1	21121244	22098895	0.245754546
N01036p22098895	1	22098895	22358269	0.674916538
N01037p22358269	1	22358269	23179467	3.29653741
N01038p23179467	1	23179467	28465146	0.49823606
N01039p28465146	1	28465146	28814763	3.047971383
N01040p28814763	1	28814763	32562416	3.047971383
N01041p32562416	1	32562416	33008515	0.459491498
N01042p33008515	1	33008515	35197610	0.147133308
N01043p35197610	1	35197610	36028516	0.343467616
N01044p36028516	1	36028516	36276064	1.714933136
N01045p36276064	1	36276064	36405137	2.859558324
N01046p36405137	1	36405137	37467314	4.292500889
N01047p37467314	1	37467314	37600294	4.797320554
N01048p37600294	1	37600294	37800304	5.688609848
N01049p37800304	1	37800304	37988257	8.987812414
N01050p37988257	1	37988257	38100492	14.87540852
N01051p38100492	1	38100492	38474024	15.69897
N01052p38474024	1	38474024	38504395	15.69897
N01053p38504395	1	38504395	38612207	12.43110344
N01054p38612207	1	38612207	38674924	10.72046241
N01055p38674924	1	38674924	38702412	5.997523096
N01056p38702412	1	38702412	38803588	5.321979223
N01057p38803588	1	38803588	39075303	9.314287455
N01058p39075303	1	39075303	39421385	6.613212247
N01059p39421385	1	39421385	39800748	2.432202335
N01060p39800748	1	39800748	39837241	0.563238016
N01061p39837241	1	39837241	40000624	0.583929468
N01062p40000624	1	40000624	40151312	0.77337933
N01063p40151312	1	40151312	40322365	0.660443882
N01064p40322365	1	40322365	40494525	0.225462506
N01065p40494525	1	40494525	40597727	0.421203936
N01066p40597727	1	40597727	40611781	0.617335779
N01067p40611781	1	40611781	40832098	0.349238677
N01068p40832098	1	40832098	40901093	0.019422109
N01069p40901093	1	40901093	41602396	0.27242194
N01070p41602396	1	41602396	41749915	0.152985171
N01071p41749915	1	41749915	41841790	0.202242928
N01072p41841790	1	41841790	41883027	0.216900836
N01073p41883027	1	41883027	42294069	0.076387504
N01074p42294069	1	42294069	43270923	0.16691031
N02075p51624	2	51624	589810	1.319039316
